ion,energy_MeV,angle_deg,depth_um,major_axis_um,minor_axis_um,total_length_um,black_part,total_surface,status
protons,0.502020202020202,73.63636363636364,3.148138881320266,14.651221456161078,14.548735670445325,14.651109320411877,0.5216294711217875,198.07400375454645,Developed
protons,0.502020202020202,75.68181818181819,3.212764799004672,14.744419210040764,14.667121760939793,14.744404644657855,0.5326617621720453,201.78671636337734,Developed
protons,0.502020202020202,77.72727272727272,3.26917901366644,14.824376858484689,14.768481341500797,14.824204311665412,0.5420091113699941,205.00207618449633,Developed
protons,0.502020202020202,79.77272727272727,3.3171684827365393,14.891609296050738,14.853263929756213,14.891524671802555,0.5485812870575821,207.72026878698478,Developed
protons,0.502020202020202,81.81818181818181,3.356477126687219,14.946288333782226,14.921961839041332,14.946133860854538,0.5545483208825057,209.90212997826654,Developed
protons,0.502020202020202,83.86363636363636,3.3870379816977056,14.988576880536483,14.97494900541142,14.98762337934833,0.5590778996813283,211.49095828639474,Developed
protons,0.502020202020202,85.9090909090909,3.4086733730447634,15.0187042217755,15.012432720792448,15.017554506817852,0.5629693511995966,212.44473301214813,Developed
protons,0.502020202020202,87.95454545454545,3.4184016357657754,15.036711366644326,15.033858321277998,15.028445449760829,0.5648561122589656,212.2821944581625,Developed
protons,0.502020202020202,90.0,3.430293455122481,15.049465053378947,15.049465053378947,15.042734444944262,0.5672463583922204,214.21210996895698,Developed
protons,0.703030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,2.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,6.136363636363637,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,10.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,12.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,14.318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,16.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,18.40909090909091,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,20.454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,22.5,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,24.545454545454547,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,26.59090909090909,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.703030303030303,28.636363636363637,0.0492302127808486,3.9092306750732715,1.8216944501493257,3.9092329393329557,0.0,4.810073490774171,Developed
protons,0.703030303030303,30.68181818181818,0.17951467161080714,6.502438604172509,3.3957497322845502,6.50244701299154,0.0,14.802886078692804,Developed
protons,0.703030303030303,32.72727272727273,0.3724266020390967,8.871505868403965,4.797540674307303,8.87151181208281,0.0,28.554938297089116,Developed
protons,0.703030303030303,34.77272727272727,0.6256506892829492,11.168063001230047,6.119643292861012,11.168081746288951,0.0,46.29552059784029,Developed
protons,0.703030303030303,36.81818181818182,0.9318746695229283,12.697789263781287,7.370937437685273,12.697806399687753,0.0,67.12952026721172,Developed
protons,0.703030303030303,38.86363636363636,1.2410355145562608,13.242314553656378,8.401736018458807,13.242362204189012,0.02813270434566973,84.95028459516813,Developed
protons,0.703030303030303,40.90909090909091,1.5431225793848604,13.679050775054046,9.257084887009611,13.679176805687927,0.11785217218208457,100.76828759921261,Developed
protons,0.703030303030303,42.95454545454545,1.8373180709400447,14.034809069020753,9.984397866062606,14.035146498616223,0.19247032350521845,115.24746313103476,Developed
protons,0.703030303030303,45.0,2.1229715031194463,14.323779932541042,10.612335978680765,14.32695064984914,0.2568572407821449,128.6812597454001,Developed
protons,0.703030303030303,47.04545454545455,2.3994725391809375,14.565011337896228,11.160068563391999,14.565847092364017,0.3146089942803003,141.23791512432118,Developed
protons,0.703030303030303,49.09090909090909,2.666291055474135,14.759914396592128,11.641237730291893,14.760077380450692,0.36598258784445264,153.0092258647151,Developed
protons,0.703030303030303,51.13636363636363,2.922902832991692,14.915885409860568,12.06612158737063,14.915932500656217,0.4146815477934657,164.06138085373192,Developed
protons,0.703030303030303,53.18181818181818,3.168910862384095,15.038355314774856,12.44274964005638,15.03838038544392,0.4625991033297165,174.44047490093962,Developed
protons,0.703030303030303,55.22727272727273,3.4038469467494927,15.13245060806241,12.777516713146065,15.13246073582453,0.5116774268143988,184.17761781226503,Developed
protons,0.703030303030303,57.27272727272727,3.627341341110471,15.200938976593523,13.075726012302189,15.200937478272504,0.5661356985113387,193.29332768433378,Developed
protons,0.703030303030303,59.31818181818182,3.839004817949043,15.247401515053294,13.341671878391413,15.24738846760447,0.6458704018759146,201.80294295557712,Developed
protons,0.703030303030303,61.36363636363636,4.038715598989937,15.274647568692766,13.578988620540066,15.274639173179935,0.7085653661570024,209.72447064559455,Developed
protons,0.703030303030303,63.40909090909091,4.225807834998751,15.285510928110774,13.790740731336502,15.28548508869159,0.7425248118434926,217.0580280416789,Developed
protons,0.703030303030303,65.45454545454545,4.400212224359388,15.282347681622923,13.97944472908605,15.282317005070293,0.7535950874867493,223.81408164023193,Developed
